98515787447884;-0,038;-0,19;0,647
98515787496218;0;0;0
98515901886219;0,074;-0,09;-0,08
98515902072886;0,153;-0,068;0,163
98516042939555;-0,819;-0,036;-0,117
98516043111222;-0,202;-0,18;-0,068
98516183791221;-5,308;-0,856;-0,811
98516184421221;-3,153;-0,082;0,366
98516325072884;-2,564;-0,115;1,453
98516325782884;-6,561;-0,541;0,36
98516467754554;13,203;-2,82;6,809
98516468567887;6,314;-0,385;1,581
98516610439556;6,379;-0,468;-0,711
98516611259555;11,408;-1,911;1,775
98516752566219;-1,352;1,098;-1,422
98516753329552;2,482;0,298;-1,418
98516895126217;-3,317;1,441;-1,121
98516895879550;-2,892;1,177;-1,24
98517037562886;-0,008;3,065;0,101
98517038329553;-2,465;2,24;-0,289
98517179921219;-0,167;4,228;-1,262
98517180817886;2,847;3,555;0,826
98517323402884;-6,177;-6,432;-2,083
98517325029551;-0,821;-0,426;-0,231
98517464606218;-3,391;-4,622;-2,268
98517465527885;-5,996;-6,58;-3,039
98517607029552;-0,748;1,26;-1,627
98517607794552;-1,865;-1,607;-2,371
98517749672882;1,695;2,102;0,427
98517750577883;1;2,413;-0,503
98517893069549;5,534;-2,596;0,615
98517893846216;4,152;-0,344;0,808
98518034779553;-0,272;-0,702;-0,687
98518035601219;3,92;-2,644;0,736
98518177262885;-6,663;7,234;2,921
98518178014551;-3,895;5,152;1,692
98518319866215;-3,006;2,353;1,388
98518320877882;-4,552;5,289;3,859
98518462174552;1,15;-2,4;-0,448
98518462999552;-1,005;-0,501;0,405
98518604807885;1,942;-2,444;-0,62
98518605571219;1,914;-2,894;-1,029
98518748101217;1,076;-0,888;-0,504
98518748864550;1,777;-1,752;-0,913
98518888019550;0,105;-0,123;-0,275
98518888191216;0,484;-0,479;-0,165
