131003190726595;0;0;0
131003313471598;0,293;0,147;-0,407
131003314223264;0,343;0,152;-0,343
131003439384931;-0,062;-0,042;-0,158
131003439594931;0,299;0,018;-0,219
131003574101594;-4,085;0,077;-0,084
131003574291594;-1,304;0,013;-0,465
131003693248260;-6,013;0,073;0,746
131003820923262;-2,194;-0,46;1,643
131003821118262;-5,63;-0,35;0,735
131003953636595;14,031;-1,69;3,632
131003953813262;6,059;-0,621;1,184
131004075016592;5,711;0,141;-1,533
131004075196592;10,987;0,101;0,298
131004207718260;-2,183;0,523;-1,237
131004207933260;1,401;0,087;-1,438
131004332163262;-4,498;1,593;-0,337
131004332341595;-3,861;0,932;-1,51
131004460251595;-3,223;3,304;0,13
131004589718259;2,107;7,397;0,661
131004589893259;-1,625;5,018;0,793
131004715876594;-0,974;-9,296;-0,469
131004716099927;-1,437;2,363;-0,364
131004836243262;-1,761;-8,691;-3,681
131004837118262;-0,071;-12,566;-5,332
131004963298262;-1,263;-3,013;-3,234
131005085836592;0,164;3,191;-1,064
131005086031592;-1,267;1,003;-2,429
131005223206593;1,859;3,611;1,438
131005223993260;0,286;3,984;0,625
131005350061595;6,379;1,126;1,9
131005350246595;4,329;2,43;1,234
131005474251594;3,516;-1,359;-0,621
131005474466594;4,98;-0,102;-0,715
131005593461592;-3,544;-0,678;1,597
131005718331592;-10,159;1,217;-0,049
131005718519925;-11,803;1,553;1,816
131005848013260;-1,742;0,264;-0,07
131005848198260;-6,467;0,902;-0,038
131005980831593;2,819;-0,196;-0,388
131005981023260;0,84;-0,15;-0,548
131006110279924;2,517;-0,576;-0,519
131006111203257;3,855;-0,238;-0,172
131006241946593;1,927;-6,983;-1,138
131006242121593;1,809;-2,809;-0,326
131006362296594;0,468;-6,442;-2,089
131006487611592;-0,082;8,561;2,578
131006487794926;-0,103;-1,587;-0,146
131006620381592;-0,481;5,508;5,78
131006620601592;-1,201;10,914;5,198
131006742588261;-0,019;-1,004;0,722
131006742769927;-0,223;2,099;2,84
131006883651595;0,391;-3,061;-1,164
131006883829929;0,569;-2,76;-0,565
131006995058261;0,166;-2,905;-1,113
131007129858259;0,584;-1,061;-0,885
131007130086592;0,19;-2,226;-1,606
131007254738261;-0,085;0,351;-0,279
131007254934928;0,301;-0,286;-0,776
131007377898261;-0,194;0,42;0,152
131007378086595;-0,114;0,394;0,03
